"","Week","states_groups","fit"
"1",1,"NY/NJ",43.4
"2",1,"TX/FL/AZ",45.11
"3",2,"NY/NJ",45.74
"4",2,"TX/FL/AZ",42.59
"5",3,"NY/NJ",48.09
"6",3,"TX/FL/AZ",40.06
"7",4,"NY/NJ",46.57
"8",4,"TX/FL/AZ",41.2
"9",5,"NY/NJ",45.06
"10",5,"TX/FL/AZ",42.34
"11",6,"NY/NJ",43.54
"12",6,"TX/FL/AZ",43.47
"13",7,"NY/NJ",42.03
"14",7,"TX/FL/AZ",44.61
"15",8,"NY/NJ",42.12
"16",8,"TX/FL/AZ",44.59
"17",9,"NY/NJ",42.22
"18",9,"TX/FL/AZ",44.57
"19",10,"NY/NJ",42.32
"20",10,"TX/FL/AZ",44.55
"21",11,"NY/NJ",42.42
"22",11,"TX/FL/AZ",44.53
"23",12,"NY/NJ",42.52
"24",12,"TX/FL/AZ",44.5
"25",13,"NY/NJ",42.62
"26",13,"TX/FL/AZ",44.48
"27",14,"NY/NJ",42.71
"28",14,"TX/FL/AZ",44.46
"29",15,"NY/NJ",42.81
"30",15,"TX/FL/AZ",44.44
"31",16,"NY/NJ",42.91
"32",16,"TX/FL/AZ",44.42
"33",17,"NY/NJ",43.01
"34",17,"TX/FL/AZ",44.4
"35",18,"NY/NJ",43.11
"36",18,"TX/FL/AZ",44.38
"37",19,"NY/NJ",43.21
"38",19,"TX/FL/AZ",44.35
"39",20,"NY/NJ",43.31
"40",20,"TX/FL/AZ",44.33
"41",21,"NY/NJ",43.4
"42",21,"TX/FL/AZ",44.31
"43",22,"NY/NJ",43.5
"44",22,"TX/FL/AZ",44.29
"45",23,"NY/NJ",43.6
"46",23,"TX/FL/AZ",44.27
"47",24,"NY/NJ",43.7
"48",24,"TX/FL/AZ",44.25
"49",25,"NY/NJ",43.8
"50",25,"TX/FL/AZ",44.23
"51",26,"NY/NJ",43.9
"52",26,"TX/FL/AZ",44.2
"53",27,"NY/NJ",44
"54",27,"TX/FL/AZ",44.18
"55",28,"NY/NJ",44.09
"56",28,"TX/FL/AZ",44.16
"57",29,"NY/NJ",44.19
"58",29,"TX/FL/AZ",44.14
"59",30,"NY/NJ",44.29
"60",30,"TX/FL/AZ",44.12
"61",31,"NY/NJ",44.39
"62",31,"TX/FL/AZ",44.1
"63",32,"NY/NJ",44.49
"64",32,"TX/FL/AZ",44.08
"65",33,"NY/NJ",44.59
"66",33,"TX/FL/AZ",44.05
