"","Week","states_groups","dot"
"1",1,"NY/NJ",44.13
"2",1,"TX/FL/AZ",45.16
"3",2,"NY/NJ",40.14
"4",2,"TX/FL/AZ",44.62
"5",3,"NY/NJ",48.41
"6",3,"TX/FL/AZ",40.83
"7",4,"NY/NJ",42.06
"8",4,"TX/FL/AZ",40.76
"9",5,"NY/NJ",38.78
"10",5,"TX/FL/AZ",37.24
"11",6,"NY/NJ",30.81
"12",6,"TX/FL/AZ",38.03
"13",7,"NY/NJ",41.15
"14",7,"TX/FL/AZ",35.11
"15",8,"NY/NJ",37.46
"16",8,"TX/FL/AZ",37.97
"17",9,"NY/NJ",44.83
"18",9,"TX/FL/AZ",38.25
"19",10,"NY/NJ",41.75
"20",10,"TX/FL/AZ",38.89
"21",11,"NY/NJ",38.32
"22",11,"TX/FL/AZ",35.96
"23",12,"NY/NJ",36.51
"24",12,"TX/FL/AZ",38.19
"25",13,"NY/NJ",36.86
"26",13,"TX/FL/AZ",43.1
"27",14,"NY/NJ",38.36
"28",14,"TX/FL/AZ",39.82
"29",15,"NY/NJ",38
"30",15,"TX/FL/AZ",43.79
"31",16,"NY/NJ",36.17
"32",16,"TX/FL/AZ",40.64
"33",17,"NY/NJ",37.55
"34",17,"TX/FL/AZ",37.59
"35",18,"NY/NJ",37.43
"36",18,"TX/FL/AZ",48.98
"37",19,"NY/NJ",37.09
"38",19,"TX/FL/AZ",41.56
"39",20,"NY/NJ",48.66
"40",20,"TX/FL/AZ",57.29
"41",21,"NY/NJ",38.57
"42",21,"TX/FL/AZ",41.87
"43",22,"NY/NJ",38.66
"44",22,"TX/FL/AZ",47.43
