"","Week","states_groups","dot"
"1",1,"NY/NJ",40.15
"2",1,"TX/FL/AZ",42.88
"3",2,"NY/NJ",41.46
"4",2,"TX/FL/AZ",43.9
"5",3,"NY/NJ",47.43
"6",3,"TX/FL/AZ",41.33
"7",4,"NY/NJ",41.43
"8",4,"TX/FL/AZ",43.57
"9",5,"NY/NJ",42.21
"10",5,"TX/FL/AZ",43.18
"11",6,"NY/NJ",34.81
"12",6,"TX/FL/AZ",44.92
"13",7,"NY/NJ",43.59
"14",7,"TX/FL/AZ",40.19
"15",8,"NY/NJ",40
"16",8,"TX/FL/AZ",43.07
"17",9,"NY/NJ",47.36
"18",9,"TX/FL/AZ",42.75
"19",10,"NY/NJ",43.37
"20",10,"TX/FL/AZ",43.03
"21",11,"NY/NJ",41.57
"22",11,"TX/FL/AZ",43.14
"23",12,"NY/NJ",40.74
"24",12,"TX/FL/AZ",42.97
"25",13,"NY/NJ",41.83
"26",13,"TX/FL/AZ",47.33
"27",14,"NY/NJ",43.56
"28",14,"TX/FL/AZ",45
"29",15,"NY/NJ",46.97
"30",15,"TX/FL/AZ",49.44
"31",16,"NY/NJ",41.67
"32",16,"TX/FL/AZ",45.68
"33",17,"NY/NJ",43.97
"34",17,"TX/FL/AZ",45.54
"35",18,"NY/NJ",39.17
"36",18,"TX/FL/AZ",53.19
"37",19,"NY/NJ",45.41
"38",19,"TX/FL/AZ",49.68
"39",20,"NY/NJ",58.87
"40",20,"TX/FL/AZ",65.18
"41",21,"NY/NJ",41.57
"42",21,"TX/FL/AZ",47.67
"43",22,"NY/NJ",46.3
"44",22,"TX/FL/AZ",50
"45",23,"NY/NJ",45.35
"46",23,"TX/FL/AZ",48.8
