"","Week","states_groups","fit"
"1",1,"NY/NJ",42.2283267814657
"2",1,"TX/FL/AZ",49.5418774255402
"3",2,"NY/NJ",42.2493702504682
"4",2,"TX/FL/AZ",42.9554198676633
"5",3,"NY/NJ",42.2704137194707
"6",3,"TX/FL/AZ",36.3689623097864
"7",4,"NY/NJ",41.5416920697702
"8",4,"TX/FL/AZ",36.5910190270264
"9",5,"NY/NJ",40.8129704200697
"10",5,"TX/FL/AZ",36.8130757442665
"11",6,"NY/NJ",40.0842487703693
"12",6,"TX/FL/AZ",37.0351324615065
"13",7,"NY/NJ",39.3555271206688
"14",7,"TX/FL/AZ",37.2571891787465
"15",8,"NY/NJ",38.6268054709683
"16",8,"TX/FL/AZ",37.4792458959866
"17",9,"NY/NJ",37.8980838212679
"18",9,"TX/FL/AZ",37.7013026132266
"19",10,"NY/NJ",37.1693621715674
"20",10,"TX/FL/AZ",37.9233593304667
"21",11,"NY/NJ",36.4406405218669
"22",11,"TX/FL/AZ",38.1454160477067
"23",12,"NY/NJ",35.7119188721665
"24",12,"TX/FL/AZ",38.3674727649467
"25",13,"NY/NJ",34.983197222466
"26",13,"TX/FL/AZ",38.5895294821868
"27",14,"NY/NJ",34.2544755727655
"28",14,"TX/FL/AZ",38.8115861994268
"29",15,"NY/NJ",33.525753923065
"30",15,"TX/FL/AZ",39.0336429166668
"31",16,"NY/NJ",32.7970322733646
"32",16,"TX/FL/AZ",39.2556996339069
