"","Week","states_groups","fit"
"1",1,"NY/NJ",43.2026378443426
"2",1,"TX/FL/AZ",49.3146378507743
"3",2,"NY/NJ",42.8233802064007
"4",2,"TX/FL/AZ",45.5076444021822
"5",3,"NY/NJ",42.4441225684587
"6",3,"TX/FL/AZ",41.7006509535901
"7",4,"NY/NJ",42.2299459231779
"8",4,"TX/FL/AZ",41.815234681624
"9",5,"NY/NJ",42.015769277897
"10",5,"TX/FL/AZ",41.9298184096578
"11",6,"NY/NJ",41.8015926326162
"12",6,"TX/FL/AZ",42.0444021376916
"13",7,"NY/NJ",41.5874159873353
"14",7,"TX/FL/AZ",42.1589858657254
"15",8,"NY/NJ",41.3732393420545
"16",8,"TX/FL/AZ",42.2735695937593
"17",9,"NY/NJ",41.1590626967737
"18",9,"TX/FL/AZ",42.3881533217931
"19",10,"NY/NJ",40.9448860514928
"20",10,"TX/FL/AZ",42.5027370498269
"21",11,"NY/NJ",40.730709406212
"22",11,"TX/FL/AZ",42.6173207778607
"23",12,"NY/NJ",40.5165327609311
"24",12,"TX/FL/AZ",42.7319045058945
"25",13,"NY/NJ",40.3023561156503
"26",13,"TX/FL/AZ",42.8464882339284
"27",14,"NY/NJ",40.0881794703695
"28",14,"TX/FL/AZ",42.9610719619622
"29",15,"NY/NJ",39.8740028250886
"30",15,"TX/FL/AZ",43.075655689996
"31",16,"NY/NJ",39.6598261798078
"32",16,"TX/FL/AZ",43.1902394180299
"33",17,"NY/NJ",39.445649534527
"34",17,"TX/FL/AZ",43.3048231460637
"35",18,"NY/NJ",39.2314728892461
"36",18,"TX/FL/AZ",43.4194068740975
"37",19,"NY/NJ",39.0172962439653
"38",19,"TX/FL/AZ",43.5339906021313
"39",20,"NY/NJ",38.8031195986844
"40",20,"TX/FL/AZ",43.6485743301651
"41",21,"NY/NJ",38.5889429534036
"42",21,"TX/FL/AZ",43.763158058199
"43",22,"NY/NJ",38.3747663081228
"44",22,"TX/FL/AZ",43.8777417862328
"45",23,"NY/NJ",38.1605896628419
"46",23,"TX/FL/AZ",43.9923255142666
"47",24,"NY/NJ",37.9464130175611
"48",24,"TX/FL/AZ",44.1069092423004
"49",25,"NY/NJ",37.7322363722802
"50",25,"TX/FL/AZ",44.2214929703343
