"","Week","states_groups","fit"
"1",1,"NY/NJ",32.7306974862145
"2",1,"TX/FL/AZ",30.7757079607562
"3",2,"NY/NJ",32.0502230050654
"4",2,"TX/FL/AZ",30.9438079967209
"5",3,"NY/NJ",31.3697485239164
"6",3,"TX/FL/AZ",31.1119080326856
"7",4,"NY/NJ",30.6892740427673
"8",4,"TX/FL/AZ",31.2800080686503
"9",5,"NY/NJ",30.0087995616182
"10",5,"TX/FL/AZ",31.4481081046151
"11",6,"NY/NJ",29.3283250804691
"12",6,"TX/FL/AZ",31.6162081405798
"13",7,"NY/NJ",28.64785059932
"14",7,"TX/FL/AZ",31.7843081765445
"15",8,"NY/NJ",28.6210367413002
"16",8,"TX/FL/AZ",31.7040454101045
"17",9,"NY/NJ",28.5942228832804
"18",9,"TX/FL/AZ",31.6237826436645
"19",10,"NY/NJ",28.5674090252607
"20",10,"TX/FL/AZ",31.5435198772245
"21",11,"NY/NJ",28.5405951672409
"22",11,"TX/FL/AZ",31.4632571107846
"23",12,"NY/NJ",28.5137813092211
"24",12,"TX/FL/AZ",31.3829943443446
"25",13,"NY/NJ",28.4869674512013
"26",13,"TX/FL/AZ",31.3027315779046
"27",14,"NY/NJ",28.4601535931815
"28",14,"TX/FL/AZ",31.2224688114646
"29",15,"NY/NJ",28.4333397351617
"30",15,"TX/FL/AZ",31.1422060450246
"31",16,"NY/NJ",28.4065258771419
"32",16,"TX/FL/AZ",31.0619432785846
"33",17,"NY/NJ",28.3797120191221
"34",17,"TX/FL/AZ",30.9816805121446
"35",18,"NY/NJ",28.3528981611023
"36",18,"TX/FL/AZ",30.9014177457047
"37",19,"NY/NJ",28.3260843030825
"38",19,"TX/FL/AZ",30.8211549792647
"39",20,"NY/NJ",28.2992704450627
"40",20,"TX/FL/AZ",30.7408922128247
"41",21,"NY/NJ",28.272456587043
"42",21,"TX/FL/AZ",30.6606294463847
"43",22,"NY/NJ",28.2456427290232
"44",22,"TX/FL/AZ",30.5803666799447
"45",23,"NY/NJ",28.2188288710034
"46",23,"TX/FL/AZ",30.5001039135047
"47",24,"NY/NJ",28.1920150129836
"48",24,"TX/FL/AZ",30.4198411470647
"49",25,"NY/NJ",28.1652011549638
"50",25,"TX/FL/AZ",30.3395783806248
"51",26,"NY/NJ",28.138387296944
"52",26,"TX/FL/AZ",30.2593156141848
"53",27,"NY/NJ",28.1115734389242
"54",27,"TX/FL/AZ",30.1790528477448
"55",28,"NY/NJ",28.0847595809044
"56",28,"TX/FL/AZ",30.0987900813048
"57",29,"NY/NJ",28.0579457228846
"58",29,"TX/FL/AZ",30.0185273148648
"59",30,"NY/NJ",28.0311318648648
"60",30,"TX/FL/AZ",29.9382645484248
"61",31,"NY/NJ",28.004318006845
"62",31,"TX/FL/AZ",29.8580017819848
"63",32,"NY/NJ",27.9775041488253
"64",32,"TX/FL/AZ",29.7777390155448
"65",33,"NY/NJ",27.9506902908055
"66",33,"TX/FL/AZ",29.6974762491049
