"","Week","states_groups","fit"
"1",1,"NY/NJ",41.1209246189751
"2",1,"TX/FL/AZ",47.1720700782596
"3",2,"NY/NJ",42.8845901978113
"4",2,"TX/FL/AZ",46.1869527939739
"5",3,"NY/NJ",44.6482557766474
"6",3,"TX/FL/AZ",45.2018355096881
"7",4,"NY/NJ",44.5044659326706
"8",4,"TX/FL/AZ",45.362903800418
"9",5,"NY/NJ",44.3606760886938
"10",5,"TX/FL/AZ",45.5239720911479
"11",6,"NY/NJ",44.2168862447169
"12",6,"TX/FL/AZ",45.6850403818779
"13",7,"NY/NJ",44.0730964007401
"14",7,"TX/FL/AZ",45.8461086726078
"15",8,"NY/NJ",43.9293065567632
"16",8,"TX/FL/AZ",46.0071769633377
"17",9,"NY/NJ",43.7855167127864
"18",9,"TX/FL/AZ",46.1682452540676
"19",10,"NY/NJ",43.6417268688096
"20",10,"TX/FL/AZ",46.3293135447976
"21",11,"NY/NJ",43.4979370248327
"22",11,"TX/FL/AZ",46.4903818355275
"23",12,"NY/NJ",43.3541471808559
"24",12,"TX/FL/AZ",46.6514501262574
"25",13,"NY/NJ",43.210357336879
"26",13,"TX/FL/AZ",46.8125184169873
"27",14,"NY/NJ",43.0665674929022
"28",14,"TX/FL/AZ",46.9735867077173
"29",15,"NY/NJ",42.9227776489254
"30",15,"TX/FL/AZ",47.1346549984472
"31",16,"NY/NJ",42.7789878049485
"32",16,"TX/FL/AZ",47.2957232891771
"33",17,"NY/NJ",42.6351979609717
"34",17,"TX/FL/AZ",47.456791579907
"35",18,"NY/NJ",42.4914081169948
"36",18,"TX/FL/AZ",47.617859870637
"37",19,"NY/NJ",42.347618273018
"38",19,"TX/FL/AZ",47.7789281613669
"39",20,"NY/NJ",42.2038284290412
"40",20,"TX/FL/AZ",47.9399964520968
"41",21,"NY/NJ",42.0600385850643
"42",21,"TX/FL/AZ",48.1010647428268
"43",22,"NY/NJ",41.9162487410875
"44",22,"TX/FL/AZ",48.2621330335567
