"","Week","states_groups","fit"
"1",1,"NY/NJ",57.9663751054844
"2",1,"TX/FL/AZ",63.1985118158684
"3",2,"NY/NJ",55.4738194220191
"4",2,"TX/FL/AZ",57.8757136345954
"5",3,"NY/NJ",52.9812637385538
"6",3,"TX/FL/AZ",52.5529154533225
"7",4,"NY/NJ",52.4267641494025
"8",4,"TX/FL/AZ",52.4492527953917
"9",5,"NY/NJ",51.8722645602512
"10",5,"TX/FL/AZ",52.3455901374609
"11",6,"NY/NJ",51.3177649710999
"12",6,"TX/FL/AZ",52.2419274795302
"13",7,"NY/NJ",50.7632653819486
"14",7,"TX/FL/AZ",52.1382648215994
"15",8,"NY/NJ",50.2087657927973
"16",8,"TX/FL/AZ",52.0346021636687
"17",9,"NY/NJ",49.6542662036461
"18",9,"TX/FL/AZ",51.9309395057379
"19",10,"NY/NJ",49.0997666144948
"20",10,"TX/FL/AZ",51.8272768478071
"21",11,"NY/NJ",48.5452670253435
"22",11,"TX/FL/AZ",51.7236141898764
"23",12,"NY/NJ",47.9907674361922
"24",12,"TX/FL/AZ",51.6199515319456
"25",13,"NY/NJ",47.4362678470409
"26",13,"TX/FL/AZ",51.5162888740148
"27",14,"NY/NJ",46.8817682578896
"28",14,"TX/FL/AZ",51.4126262160841
"29",15,"NY/NJ",46.3272686687383
"30",15,"TX/FL/AZ",51.3089635581533
"31",16,"NY/NJ",45.7727690795871
"32",16,"TX/FL/AZ",51.2053009002226
