"group","person","percent"
"Black","Babysitter/nanny/au pair",2.7
"Black","Friend of parent",0.9
"Black","Grandparent",16.1
"Black","Not applicable",0.9
"Black","Other neighbor",1.8
"Black","No one is able to do this",3.6
"Black","Other",0
"Black","You/other parent/step-parent ",86.6
"Black","Adult responsible for a group (e.g., pod, bubble) ",0.9
"Black","Other relative",5.4
"Black","Sibling 15 years or older",10.7
"LatinX","Babysitter/nanny/au pair",1.2
"LatinX","Friend of parent",1.2
"LatinX","Grandparent",12.3
"LatinX","Not applicable",9.9
"LatinX","Other neighbor",1.2
"LatinX","No one is able to do this",2.9
"LatinX","Other",0.6
"LatinX","You/other parent/step-parent ",83
"LatinX","Adult responsible for a group (e.g., pod, bubble) ",0
"LatinX","Other relative",5.3
"LatinX","Sibling 15 years or older",6.4
"Low income","Babysitter/nanny/au pair",0.7
"Low income","Friend of parent",1.4
"Low income","Grandparent",11.2
"Low income","Not applicable",10.5
"Low income","Other neighbor",0.7
"Low income","No one is able to do this",2.1
"Low income","Other",0.3
"Low income","You/other parent/step-parent ",83.9
"Low income","Adult responsible for a group (e.g., pod, bubble) ",1
"Low income","Other relative",3.1
"Low income","Sibling 15 years or older",6.3
"Single parent","Babysitter/nanny/au pair",4
"Single parent","Friend of parent",4
"Single parent","Grandparent",16
"Single parent","Not applicable",7
"Single parent","Other neighbor",1
"Single parent","No one is able to do this",7
"Single parent","Other",4
"Single parent","You/other parent/step-parent ",77
"Single parent","Adult responsible for a group (e.g., pod, bubble) ",0
"Single parent","Other relative",7
"Single parent","Sibling 15 years or older",10
"Average","Babysitter/nanny/au pair",3.2
"Average","Friend of parent",2.2
"Average","Grandparent",10.8
"Average","Not applicable",12
"Average","Other neighbor",1
"Average","No one is able to do this",3.1
"Average","Other",2.3
"Average","You/other parent/step-parent ",80.5
"Average","Adult responsible for a group (e.g., pod, bubble) ",2.4
"Average","Other relative",2.8
"Average","Sibling 15 years or older",3.6
