"learning","group","percent"
"Using online resources (e.g., educational apps,
educational TV shows, etc.)","Black",70.2
"Using online resources (e.g., educational apps,
educational TV shows, etc.)","LatinX",61.9
"Using online resources (e.g., educational apps,
educational TV shows, etc.)","Low income",67.2
"Using online resources (e.g., educational apps,
educational TV shows, etc.)","Single parent",70
"Using in-person games and activities at your home","Black",71.6
"Using in-person games and activities at your home","LatinX",78.6
"Using in-person games and activities at your home","Low income",79.2
"Using in-person games and activities at your home","Single parent",76.3
"Attending in-person learning outside of your home
(daycare, childcare, etc.)","Black",22.9
"Attending in-person learning outside of your home
(daycare, childcare, etc.)","LatinX",12.9
"Attending in-person learning outside of your home
(daycare, childcare, etc.)","Low income",11.4
"Attending in-person learning outside of your home
(daycare, childcare, etc.)","Single parent",18.9
"None of the above","Black",0
"None of the above","LatinX",0
"None of the above","Low income",0
"None of the above","Single parent",0
"Attending online classes/activities","Black",28.9
"Attending online classes/activities","LatinX",31
"Attending online classes/activities","Low income",25.6
"Attending online classes/activities","Single parent",25.8
"Other","Black",4.1
"Other","LatinX",3.4
"Other","Low income",4.4
"Other","Single parent",2.6
"Using online resources
(e.g., educational apps,
educational TV shows, etc.)","Average",63.1
"Using in-person games and
activities at your home","Average",81.8
"Attending in-person learning
outside of your home
(daycare, childcare, etc.)","Average",23
"None of the above","Average",0
"Attending online classes/activities","Average",22.7
"Other","Average",3.6
