"","Week","Date","income","race","count","percent"
"1",2,"April 14","High income","Black",10,10
"2",2,"April 14","High income","LatinX",18,44.4444444444444
"3",2,"April 14","High income","White",115,15.6521739130435
"4",2,"April 14","Low income","Black",8,62.5
"5",2,"April 14","Low income","LatinX",10,50
"6",2,"April 14","Low income","White",38,60.5263157894737
"7",3,"April 20","High income","Black",12,41.6666666666667
"8",3,"April 20","High income","LatinX",21,19.047619047619
"9",3,"April 20","High income","White",143,18.8811188811189
"10",3,"April 20","Low income","Black",13,46.1538461538462
"11",3,"April 20","Low income","LatinX",18,50
"12",3,"April 20","Low income","White",57,61.4035087719298
"13",4,"April 28","High income","Black",8,25
"14",4,"April 28","High income","LatinX",34,17.6470588235294
"15",4,"April 28","High income","White",184,19.5652173913043
"16",4,"April 28","Low income","Black",13,30.7692307692308
"17",4,"April 28","Low income","LatinX",26,34.6153846153846
"18",4,"April 28","Low income","White",60,65
"19",5,"May 05","High income","Black",6,33.3333333333333
"20",5,"May 05","High income","LatinX",27,33.3333333333333
"21",5,"May 05","High income","White",151,16.5562913907285
"22",5,"May 05","Low income","Black",7,42.8571428571429
"23",5,"May 05","Low income","LatinX",19,68.4210526315789
"24",5,"May 05","Low income","White",41,68.2926829268293
"25",6,"May 12","High income","Black",14,21.4285714285714
"26",6,"May 12","High income","LatinX",51,21.5686274509804
"27",6,"May 12","High income","White",269,18.2156133828996
"28",6,"May 12","Low income","Black",20,50
"29",6,"May 12","Low income","LatinX",34,29.4117647058824
"30",6,"May 12","Low income","White",76,57.8947368421053
"31",7,"May 19","High income","Black",14,28.5714285714286
"32",7,"May 19","High income","LatinX",63,25.3968253968254
"33",7,"May 19","High income","White",371,18.0592991913747
"34",7,"May 19","Low income","Black",16,50
"35",7,"May 19","Low income","LatinX",37,48.6486486486486
"36",7,"May 19","Low income","White",94,55.3191489361702
"37",8,"May 26","High income","Black",27,48.1481481481481
"38",8,"May 26","High income","LatinX",75,28
"39",8,"May 26","High income","White",454,19.6035242290749
"40",8,"May 26","Low income","Black",24,45.8333333333333
"41",8,"May 26","Low income","LatinX",50,56
"42",8,"May 26","Low income","White",117,57.2649572649573
"43",9,"June 02","High income","Black",32,46.875
"44",9,"June 02","High income","LatinX",92,32.6086956521739
"45",9,"June 02","High income","White",488,19.672131147541
"46",9,"June 02","Low income","Black",21,57.1428571428571
"47",9,"June 02","Low income","LatinX",56,55.3571428571429
"48",9,"June 02","Low income","White",124,56.4516129032258
"49",10,"June 09","High income","Black",32,43.75
"50",10,"June 09","High income","LatinX",97,37.1134020618557
"51",10,"June 09","High income","White",463,19.2224622030238
"52",10,"June 09","Low income","Black",25,60
"53",10,"June 09","Low income","LatinX",49,61.2244897959184
"54",10,"June 09","Low income","White",119,61.3445378151261
"55",11,"June 16","High income","Black",23,39.1304347826087
"56",11,"June 16","High income","LatinX",86,30.2325581395349
"57",11,"June 16","High income","White",385,19.4805194805195
"58",11,"June 16","Low income","Black",20,80
"59",11,"June 16","Low income","LatinX",43,62.7906976744186
"60",11,"June 16","Low income","White",107,62.6168224299065
"61",12,"June 23","High income","Black",37,48.6486486486486
"62",12,"June 23","High income","LatinX",64,25
"63",12,"June 23","High income","White",379,18.9973614775726
