"","Week","percent","race","income","Date"
"1",2,17.4,"White","High Income","April 14"
"2",2,61,"White","Low Income","April 14"
"3",2,38.8,"Black","High Income","April 14"
"4",2,51.3,"Black","Low Income","April 14"
"5",2,23.1,"LatinX","High Income","April 14"
"6",2,51,"LatinX","Low Income","April 14"
"7",3,17.7,"White","High Income","April 20"
"8",3,60.8,"White","Low Income","April 20"
"9",3,38.9,"Black","High Income","April 20"
"10",3,52.1,"Black","Low Income","April 20"
"11",3,24,"LatinX","High Income","April 20"
"12",3,51.9,"LatinX","Low Income","April 20"
"13",4,18,"White","High Income","April 28"
"14",4,60.7,"White","Low Income","April 28"
"15",4,39,"Black","High Income","April 28"
"16",4,52.8,"Black","Low Income","April 28"
"17",4,25,"LatinX","High Income","April 28"
"18",4,52.7,"LatinX","Low Income","April 28"
"19",5,18.2,"White","High Income","May 05"
"20",5,60.6,"White","Low Income","May 05"
"21",5,39.1,"Black","High Income","May 05"
"22",5,53.5,"Black","Low Income","May 05"
"23",5,26,"LatinX","High Income","May 05"
"24",5,53.6,"LatinX","Low Income","May 05"
"25",6,18.5,"White","High Income","May 12"
"26",6,60.5,"White","Low Income","May 12"
"27",6,39.2,"Black","High Income","May 12"
"28",6,54.3,"Black","Low Income","May 12"
"29",6,27,"LatinX","High Income","May 12"
"30",6,54.4,"LatinX","Low Income","May 12"
"31",7,18.8,"White","High Income","May 19"
"32",7,60.4,"White","Low Income","May 19"
"33",7,39.3,"Black","High Income","May 19"
"34",7,55,"Black","Low Income","May 19"
"35",7,28.1,"LatinX","High Income","May 19"
"36",7,55.3,"LatinX","Low Income","May 19"
"37",8,19.1,"White","High Income","May 26"
"38",8,60.3,"White","Low Income","May 26"
"39",8,39.4,"Black","High Income","May 26"
"40",8,55.7,"Black","Low Income","May 26"
"41",8,29.2,"LatinX","High Income","May 26"
"42",8,56.2,"LatinX","Low Income","May 26"
"43",9,19.4,"White","High Income","June 02"
"44",9,60.1,"White","Low Income","June 02"
"45",9,39.5,"Black","High Income","June 02"
"46",9,56.5,"Black","Low Income","June 02"
"47",9,30.2,"LatinX","High Income","June 02"
"48",9,57,"LatinX","Low Income","June 02"
"49",10,19.7,"White","High Income","June 09"
"50",10,60,"White","Low Income","June 09"
"51",10,39.6,"Black","High Income","June 09"
"52",10,57.2,"Black","Low Income","June 09"
"53",10,31.4,"LatinX","High Income","June 09"
"54",10,57.8,"LatinX","Low Income","June 09"
"55",11,20,"White","High Income","June 16"
"56",11,59.9,"White","Low Income","June 16"
"57",11,39.7,"Black","High Income","June 16"
"58",11,57.9,"Black","Low Income","June 16"
"59",11,32.5,"LatinX","High Income","June 16"
"60",11,58.7,"LatinX","Low Income","June 16"
"61",12,20.3,"White","High Income","June 23"
"62",12,59.8,"White","Low Income","June 23"
