"Week","Date","n","percent","moe"
0,2020-04-13,6534,54.8668503213958,1.20661672949101
4,2020-04-27,517,19.9226305609284,3.44301598980758
5,2020-05-04,527,21.6318785578748,3.51534213804533
6,2020-05-11,645,24.3410852713178,3.31189253765888
9,2020-06-01,1030,28.1553398058252,2.7467244481625
10,2020-06-08,971,30.8959835221421,2.90635803387094
11,2020-06-15,1085,34.3778801843318,2.82621942349383
12,2020-06-22,989,34.0748230535895,2.95393124298448
14,2020-07-06,1037,35.5834136933462,2.91399868258614
15,2020-07-13,1022,39.5303326810176,2.99753765745415
16,2020-07-20,1064,41.6353383458647,2.96204254801926
17,2020-07-27,1085,42.2119815668203,2.93885374490802
19,2020-08-11,995,46.5326633165829,3.09932958502134
21,2020-08-25,1152,43.9236111111111,2.86595172113433
23,2020-09-08,992,47.883064516129,3.10871307274364
25,2020-09-21,931,49.8388829215897,3.21180359920047
29,2020-10-20,981,35.0662589194699,2.98608040581598
31,2020-11-03,947,35.9028511087645,3.05537771655032
