"Week","variable","Date","n","percent","label","moe"
0,"centerbased",2020-04-13,6200,29.6451612903226,"Pre-pandemic",1.13680014746411
0,"other",2020-04-13,6200,28.4193548387097,"Pre-pandemic",1.12270365910136
5,"centerbased",2020-05-04,527,3.98481973434535,"May 04",1.67003300536322
5,"other",2020-05-04,527,16.888045540797,"May 04",3.19869040138414
6,"centerbased",2020-05-11,646,4.64396284829721,"May 11",1.62277488542395
6,"other",2020-05-11,646,19.969040247678,"May 11",3.08281469904113
9,"centerbased",2020-06-01,1031,8.43840931134821,"June 01",1.69673374352188
9,"other",2020-06-01,1031,21.4354995150339,"June 01",2.504994171524
10,"centerbased",2020-06-08,971,9.47476828012358,"June 08",1.84211007444409
10,"other",2020-06-08,971,22.1421215242019,"June 08",2.61160417495094
11,"centerbased",2020-06-15,1088,9.46691176470588,"June 15",1.73960022800278
11,"other",2020-06-15,1088,27.0220588235294,"June 15",2.63874026888636
12,"centerbased",2020-06-22,992,9.07258064516129,"June 22",1.78736433016948
12,"other",2020-06-22,992,26.3104838709677,"June 22",2.74010689342915
14,"centerbased",2020-07-06,1044,10.0574712643678,"July 06",1.82445337432178
14,"other",2020-07-06,1044,27.1072796934866,"July 06",2.69644067367249
15,"centerbased",2020-07-13,1026,13.1578947368421,"July 13",2.06842970667575
15,"other",2020-07-13,1026,28.4600389863548,"July 13",2.76105136371369
16,"centerbased",2020-07-20,1070,13.2710280373832,"July 20",2.03281831605062
16,"other",2020-07-20,1070,31.214953271028,"July 20",2.77646718807177
17,"centerbased",2020-07-27,1092,12.3626373626374,"July 27",1.95229286438058
17,"other",2020-07-27,1092,32.5091575091575,"July 27",2.77824175561648
19,"centerbased",2020-08-11,1001,15.4845154845155,"August 11",2.24107290921135
19,"other",2020-08-11,1001,33.966033966034,"August 11",2.93389889395396
21,"centerbased",2020-08-25,1159,14.8403796376186,"August 25",2.04669777388972
21,"other",2020-08-25,1159,31.7515099223468,"August 25",2.68005106163243
23,"centerbased",2020-09-08,999,20.2202202202202,"September 08",2.49064989730098
23,"other",2020-09-08,999,31.7317317317317,"September 08",2.88622149966735
25,"centerbased",2020-09-21,937,22.4119530416222,"September 21",2.67007547552196
25,"other",2020-09-21,937,31.1632870864461,"September 21",2.96563684054466
29,"centerbased",2020-10-20,992,0,"October 20",0
29,"other",2020-10-20,992,0,"October 20",0
31,"centerbased",2020-11-03,953,0,"November 03",0
31,"other",2020-11-03,953,0,"November 03",0
