"Week","variable","Date","n","percent","label","moe"
0,"ffn",2020-04-13,6200,22.0322580645161,"Pre-pandemic",1.03168522229671
0,"homebased",2020-04-13,6200,7.80645161290323,"Pre-pandemic",0.667786027791159
5,"ffn",2020-05-04,527,12.9032258064516,"May 04",2.86220639456884
5,"homebased",2020-05-04,527,4.36432637571157,"May 04",1.74429258565368
6,"ffn",2020-05-11,646,15.9442724458204,"May 11",2.82309713649132
6,"homebased",2020-05-11,646,4.17956656346749,"May 11",1.54324365819569
9,"ffn",2020-06-01,1031,16.9738118331717,"June 01",2.29152173101777
9,"homebased",2020-06-01,1031,4.9466537342386,"June 01",1.32362877317192
10,"ffn",2020-06-08,971,17.9196704428424,"June 08",2.41229830308222
10,"homebased",2020-06-08,971,4.73738414006179,"June 08",1.33621704906545
11,"ffn",2020-06-15,1088,22.9779411764706,"June 15",2.49979699675425
11,"homebased",2020-06-15,1088,4.50367647058824,"June 15",1.23230594062414
12,"ffn",2020-06-22,992,22.0766129032258,"June 22",2.58107347377577
12,"homebased",2020-06-22,992,4.63709677419355,"June 22",1.30861847444819
14,"ffn",2020-07-06,1044,22.8927203065134,"July 06",2.54860314101288
14,"homebased",2020-07-06,1044,4.98084291187739,"July 06",1.31966236461829
15,"ffn",2020-07-13,1026,24.3664717348928,"July 13",2.62685375623238
15,"homebased",2020-07-13,1026,5.0682261208577,"July 13",1.34219674249049
16,"ffn",2020-07-20,1070,27.1028037383178,"July 20",2.66334057299853
16,"homebased",2020-07-20,1070,4.85981308411215,"July 20",1.288415573523
17,"ffn",2020-07-27,1092,28.2051282051282,"July 27",2.66904258693804
17,"homebased",2020-07-27,1092,5.03663003663004,"July 27",1.29715787548021
19,"ffn",2020-08-11,1001,29.8701298701299,"August 11",2.83536585706885
19,"homebased",2020-08-11,1001,5.19480519480519,"August 11",1.37480066383584
21,"ffn",2020-08-25,1159,28.0414150129422,"August 25",2.58616138750893
21,"homebased",2020-08-25,1159,4.65918895599655,"August 25",1.21341381822072
23,"ffn",2020-09-08,999,26.026026026026,"September 08",2.72092601004599
23,"homebased",2020-09-08,999,6.60660660660661,"September 08",1.54035431200683
25,"ffn",2020-09-21,937,26.2540021344717,"September 21",2.81743082781808
25,"homebased",2020-09-21,937,6.29669156883671,"September 21",1.55532068807707
29,"ffn",2020-10-20,992,0,"October 20",0
29,"homebased",2020-10-20,992,0,"October 20",0
31,"ffn",2020-11-03,953,0,"November 03",0
31,"homebased",2020-11-03,953,0,"November 03",0
