"","single_cat","variable","mean","lowerci","upperci"
"1","Dual parent","anxiety",13.8,13.1,14.5
"2","Dual parent","depress",11.4,10.8,12
"3","Dual parent","fear",10.4,9.6,11.2
"4","Dual parent","fussy",15.7,14.9,16.6
"5","Dual parent","lonely",14.7,14.1,15.3
"6","Dual parent","stress",20.1,19.3,20.9
"7","Single parent","anxiety",10.9,9,12.7
"8","Single parent","depress",10.5,8.9,12.1
"9","Single parent","fear",13.5,11.5,15.6
"10","Single parent","fussy",16.9,14.8,19
"11","Single parent","lonely",15.1,13.5,16.7
"12","Single parent","stress",19.4,17.3,21.5
