"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",54.23
"2",1,"Entire Sample",41.67
"3",2,"Caregivers of children with disabilities",52.47
"4",2,"Entire Sample",39.53
"5",3,"Caregivers of children with disabilities",50
"6",3,"Entire Sample",37.36
"7",4,"Caregivers of children with disabilities",44
"8",4,"Entire Sample",36.92
"9",5,"Caregivers of children with disabilities",38.56
"10",5,"Entire Sample",37.38
"11",6,"Caregivers of children with disabilities",49.53
"12",6,"Entire Sample",36.12
"13",7,"Caregivers of children with disabilities",42.99
"14",7,"Entire Sample",37.25
"15",8,"Caregivers of children with disabilities",38.35
"16",8,"Entire Sample",35.33
"17",9,"Caregivers of children with disabilities",47.55
"18",9,"Entire Sample",39.87
"19",10,"Caregivers of children with disabilities",43.43
"20",10,"Entire Sample",35.87
