"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",69.29
"2",1,"Entire Sample",57.36
"3",2,"Caregivers of children with disabilities",67.83
"4",2,"Entire Sample",56.61
"5",3,"Caregivers of children with disabilities",66.38
"6",3,"Entire Sample",55.86
"7",4,"Caregivers of children with disabilities",64.92
"8",4,"Entire Sample",55.11
"9",5,"Caregivers of children with disabilities",63.46
"10",5,"Entire Sample",54.36
"11",6,"Caregivers of children with disabilities",62.01
"12",6,"Entire Sample",53.61
"13",7,"Caregivers of children with disabilities",61.59
"14",7,"Entire Sample",52.76
"15",8,"Caregivers of children with disabilities",61.18
"16",8,"Entire Sample",51.9
"17",9,"Caregivers of children with disabilities",60.77
"18",9,"Entire Sample",51.04
"19",10,"Caregivers of children with disabilities",60.36
"20",10,"Entire Sample",50.19
