"","Week","states_groups","fit"
"1",1,"NY/NJ",41.64
"2",1,"TX/FL/AZ",44.02
"3",2,"NY/NJ",46.76
"4",2,"TX/FL/AZ",45.38
"5",3,"NY/NJ",51.89
"6",3,"TX/FL/AZ",46.73
"7",4,"NY/NJ",50.25
"8",4,"TX/FL/AZ",46.51
"9",5,"NY/NJ",48.61
"10",5,"TX/FL/AZ",46.28
"11",6,"NY/NJ",46.98
"12",6,"TX/FL/AZ",46.05
"13",7,"NY/NJ",45.34
"14",7,"TX/FL/AZ",45.83
"15",8,"NY/NJ",45.33
"16",8,"TX/FL/AZ",45.99
"17",9,"NY/NJ",45.31
"18",9,"TX/FL/AZ",46.16
"19",10,"NY/NJ",45.3
"20",10,"TX/FL/AZ",46.32
"21",11,"NY/NJ",45.29
"22",11,"TX/FL/AZ",46.49
"23",12,"NY/NJ",45.28
"24",12,"TX/FL/AZ",46.65
"25",13,"NY/NJ",45.27
"26",13,"TX/FL/AZ",46.81
"27",14,"NY/NJ",45.26
"28",14,"TX/FL/AZ",46.98
"29",15,"NY/NJ",45.25
"30",15,"TX/FL/AZ",47.14
"31",16,"NY/NJ",45.24
"32",16,"TX/FL/AZ",47.31
"33",17,"NY/NJ",45.22
"34",17,"TX/FL/AZ",47.47
"35",18,"NY/NJ",45.21
"36",18,"TX/FL/AZ",47.63
"37",19,"NY/NJ",45.2
"38",19,"TX/FL/AZ",47.8
"39",20,"NY/NJ",45.19
"40",20,"TX/FL/AZ",47.96
"41",21,"NY/NJ",45.18
"42",21,"TX/FL/AZ",48.13
"43",22,"NY/NJ",45.17
"44",22,"TX/FL/AZ",48.29
"45",23,"NY/NJ",45.16
"46",23,"TX/FL/AZ",48.46
"47",24,"NY/NJ",45.15
"48",24,"TX/FL/AZ",48.62
"49",25,"NY/NJ",45.13
"50",25,"TX/FL/AZ",48.78
"51",26,"NY/NJ",45.12
"52",26,"TX/FL/AZ",48.95
"53",27,"NY/NJ",45.11
"54",27,"TX/FL/AZ",49.11
"55",28,"NY/NJ",45.1
"56",28,"TX/FL/AZ",49.28
"57",29,"NY/NJ",45.09
"58",29,"TX/FL/AZ",49.44
