"plans","group","percent"
"Open completely","Black",1.8
"Open completely","LatinX",8.2
"Open completely","Low income",4.2
"Open completely","Single parent",4
"Move to online only","Black",47.3
"Move to online only","LatinX",50.3
"Move to online only","Low income",39.1
"Move to online only","Single parent",49.5
"A combination of in-person on some days and online on other days","Black",13.4
"A combination of in-person on some days and online on other days","LatinX",7
"A combination of in-person on some days and online on other days","Low income",9.9
"A combination of in-person on some days and online on other days","Single parent",9.9
"Ability for parent to choose between online or in-person instruction","Black",32.1
"Ability for parent to choose between online or in-person instruction","LatinX",26.3
"Ability for parent to choose between online or in-person instruction","Low income",33.1
"Ability for parent to choose between online or in-person instruction","Single parent",31.7
"Other","Black",0.9
"Other","LatinX",1.8
"Other","Low income",2.5
"Other","Single parent",2
"Not applicable (e.g., homeschooled)","Black",4.5
"Not applicable (e.g., homeschooled)","LatinX",3.5
"Not applicable (e.g., homeschooled)","Low income",8.5
"Not applicable (e.g., homeschooled)","Single parent",3
"Don't know yet","LatinX",2.9
"Don't know yet","Low income",2.8
"Open completely","Average",7.2
"Move to online only","Average",36.1
"A combination of in-person on some days and online on other days","Average",14.6
"Ability for parent to choose between online or in-person instruction","Average",32.5
"Other","Average",2.2
"Not applicable (e.g., homeschooled)","Average",6.2
"Don't know yet","Average",1.3
