"topic","term","beta"
6,"provid",0.239953205281833
6,"support",0.198617669930029
6,"unemploy",0.0757105494978581
6,"isol",0.0751173921309195
6,"parent",0.0482331002171847
6,"overwhelm",0.0339150995421181
6,"stress",0.0332521965225907
6,"mental",0.0232905266983168
6,"free",0.0220391724920186
6,"receiv",0.0192416865999977
6,"coordin",0.0188728309371128
6,"increas",0.0182239769332173
6,"father",0.0152222400823954
6,"depress",0.0147013351043293
6,"issu",0.0106593790534541
6,"without",0.00960027444867356
6,"social",0.0090029151806291
6,"run",0.00762879899767415
6,"emot",0.00716139700271613
6,"loss",0.00674680580405924
9,"make",0.127525188537048
9,"money",0.121375499258873
9,"enough",0.0806664361950957
9,"much",0.0565851854397957
9,"can",0.0521126490615362
9,"dont",0.0363651224279206
9,"babi",0.0263859177314533
9,"problem",0.0221267510702961
9,"pregnant",0.0221158193252592
9,"adequ",0.0212939486459255
9,"concern",0.0180773695930348
9,"save",0.0169780076627085
9,"benefit",0.0168758146488868
9,"loss",0.0158512322859998
9,"use",0.0155977183342823
9,"mortgag",0.0151252264335655
9,"extra",0.0145707290227244
9,"lost",0.0143104639272514
9,"usual",0.0122327867908472
9,"difficult",0.0117987846710089
12,"week",0.0338893508990053
12,"time",0.0214573963279885
12,"husband",0.0167397724510578
12,"pandem",0.0160411578520808
12,"now",0.0135226821349959
12,"daughter",0.013477468559209
12,"per",0.0126527206193045
12,"day",0.0125341736107979
12,"structur",0.0123502339307933
12,"hour",0.0122876975234787
12,"realli",0.011721093482049
12,"nanni",0.0115301699061489
12,"hard",0.0112435285772484
12,"watch",0.0105112244024237
12,"work",0.0105042551338125
12,"just",0.0104168746001554
12,"peopl",0.00996533284911053
12,"contract",0.0096996327116275
12,"right",0.00927267303194033
12,"mean",0.0087695374126581
18,"pay",0.162075952579399
18,"bill",0.0657181161826553
18,"food",0.0440010020621391
18,"cost",0.0343661862196531
18,"expens",0.0332373435727049
18,"afford",0.0243372086241719
18,"rent",0.0206727149834674
18,"incom",0.0199912137985322
18,"also",0.0186080499693803
18,"even",0.0183806939888311
18,"cut",0.0155457838770277
18,"daycar",0.0141650558792669
18,"everyth",0.0139389197400368
18,"can",0.0134817540633178
18,"help",0.0115162227373938
18,"behind",0.010997549975342
18,"put",0.0103069427545776
18,"pandem",0.0102701754340742
18,"price",0.00986177313165834
18,"catch",0.00971028934447533
26,"stress",0.0440723241852599
26,"high",0.0311820584905023
26,"job",0.0245788692184846
26,"now",0.0237625333510292
26,"new",0.0175741023969192
26,"week",0.016183238649127
26,"bad",0.0161638430462358
26,"worri",0.015201355506722
26,"level",0.0151010009764391
26,"right",0.0137455983579866
26,"day",0.0134582417629725
26,"anxieti",0.0128166947025416
26,"tri",0.0127468555064011
26,"suffer",0.0118705120376736
26,"feel",0.0112277835623154
26,"covid",0.0108447940336104
26,"health",0.0105356870552574
26,"relationship",0.0103691113512194
26,"much",0.0101577535567306
26,"think",0.0101408030795147
