"","topic_name","Week","Date","n","percent"
"1","4",7,2020-05-19,87,5.74712643678161
"2","4",8,2020-05-26,78,2.56410256410256
"3","4",9,2020-06-02,80,6.25
"4","4",10,2020-06-08,77,6.49350649350649
"5","4",11,2020-06-15,87,4.59770114942529
"6","4",12,2020-06-22,87,8.04597701149425
"7","4",13,2020-06-29,89,13.4831460674157
"8","4",14,2020-07-06,96,8.33333333333333
"9","4",15,2020-07-13,89,13.4831460674157
"10","4",16,2020-07-20,92,7.60869565217391
"11","4",17,2020-07-27,109,11.0091743119266
"12","4",18,2020-08-03,61,13.1147540983607
"13","4",19,2020-08-11,115,12.1739130434783
"14","4",20,2020-08-17,54,12.962962962963
"15","4",21,2020-08-25,121,17.3553719008264
"16","4",22,2020-09-01,23,8.69565217391304
"17","4",23,2020-09-08,93,15.0537634408602
"18","4",24,2020-09-15,22,18.1818181818182
"19","4",25,2020-09-21,71,16.9014084507042
"20","4",26,2020-09-28,42,21.4285714285714
