"Week","variable","Date","n","percent","label","moe"
0,"centerbased",2020-04-13,5610,28.5026737967914,"Pre-pandemic",1.18130581648162
0,"ffn",2020-04-13,5610,21.3368983957219,"Pre-pandemic",1.07207660380531
5,"centerbased",2020-05-04,528,3.97727272727273,"May 04",1.66693557262819
5,"ffn",2020-05-04,528,12.8787878787879,"May 04",2.85718630462197
6,"centerbased",2020-05-11,649,4.62249614791988,"May 11",1.61545542099814
6,"ffn",2020-05-11,649,15.8705701078582,"May 11",2.81127907373312
9,"centerbased",2020-06-01,1035,8.40579710144928,"June 01",1.69047729330631
9,"ffn",2020-06-01,1035,16.9082125603865,"June 01",2.28356720125156
10,"centerbased",2020-06-08,974,9.44558521560575,"June 08",1.83673221075166
10,"ffn",2020-06-08,974,17.864476386037,"June 08",2.40567665450039
11,"centerbased",2020-06-15,1094,9.41499085923217,"June 15",1.73055548408386
11,"ffn",2020-06-15,1094,22.9433272394881,"June 15",2.49161385066
12,"centerbased",2020-06-22,1002,8.98203592814371,"June 22",1.77040718290074
12,"ffn",2020-06-22,1002,21.8562874251497,"June 22",2.55892423550173
14,"centerbased",2020-07-06,1050,10,"July 06",1.8146073955542
14,"ffn",2020-07-06,1050,22.7619047619048,"July 06",2.53618833276617
15,"centerbased",2020-07-13,1035,13.1400966183575,"July 13",2.05823446765765
15,"ffn",2020-07-13,1035,24.3478260869565,"July 13",2.61472908673838
16,"centerbased",2020-07-20,1077,13.1847725162488,"July 20",2.02060998164603
16,"ffn",2020-07-20,1077,27.1123491179201,"July 20",2.65496481836979
17,"centerbased",2020-07-27,1100,12.2727272727273,"July 27",1.93908829375281
17,"ffn",2020-07-27,1100,28.0909090909091,"July 27",2.65603947315268
19,"centerbased",2020-08-11,1007,15.3922542204568,"August 11",2.22893555524379
19,"ffn",2020-08-11,1007,29.8907646474677,"August 11",2.82746647245475
21,"centerbased",2020-08-25,1171,14.7736976942784,"August 25",2.03239936690978
21,"ffn",2020-08-25,1171,28.0102476515798,"August 25",2.57200280515736
23,"centerbased",2020-09-08,1007,20.1588877855015,"September 08",2.47792358227534
23,"ffn",2020-09-08,1007,26.1171797418074,"September 08",2.71316500962718
25,"centerbased",2020-09-21,945,22.3280423280423,"September 21",2.65520230368323
25,"ffn",2020-09-21,945,26.4550264550265,"September 21",2.81235904714339
